event,channel,n_epochs,peak_amplitude_uv,peak_latency_ms,mean_amplitude_0_800ms_uv
S_10,F8,4,22.958805549846034,509.0,7.273557208092347
S_10,Fp2,4,31.77553813379187,562.0,0.6393179385240613
S_11,Fp1,4,29.155348064466878,558.0,-1.6174004938002375
S_11,F3,4,-11.666955427032066,376.0,-1.530312201528607
S_11,F7,4,-17.739454402510628,369.0,-4.482567822660137
S_11,FT9,4,-13.198931834815628,489.0,-4.58543707838541
S_11,FC5,4,-9.920453330837827,334.0,-2.1144944725951653
S_11,FC1,4,-8.54029266705087,382.0,-1.2033851084055753
S_11,C3,4,-6.83990504152436,335.0,-1.661185213348367
S_11,T7,4,-9.121665227605625,336.0,-2.3020418776265483
S_11,TP9,4,-11.044661652344368,521.0,-2.5523990901447986
S_11,CP5,4,-12.787459051303289,532.0,-1.836309526408546
S_11,CP1,4,-6.663099901368403,572.0,-0.37402584936441335
S_11,Pz,4,-9.529517011620277,566.0,-0.5046839034640607
S_11,P3,4,10.639333108089337,375.0,0.715442179746141
S_11,P7,4,-9.189946493175688,525.0,-1.2706362065012435
S_11,O1,4,15.964343664389194,382.0,2.0383123675981643
S_11,Oz,4,15.52858118573277,387.0,2.0512254710348374
S_11,O2,4,16.719590255999446,389.0,2.0700212639226745
S_11,P4,4,8.466160353923367,332.0,0.48569276383302573
S_11,P8,4,-10.533813927502672,554.0,1.4391195602761009
S_11,TP10,4,10.002402563241084,333.0,1.267045371634511
S_11,CP6,4,7.540606231924909,51.0,0.8640058162882756
S_11,CP2,4,-7.322562121446741,127.0,-0.7768260770398581
S_11,Cz,4,-6.000036686716866,384.0,-0.8181490004011622
S_11,C4,4,7.457850435295655,83.0,1.5040070581607368
S_11,T8,4,-10.425161448895695,605.0,1.156271712719859
S_11,FT10,4,12.268556493493074,287.0,2.009807911401479
S_11,FC6,4,8.982671537233548,203.0,1.9740423915870915
S_11,FC2,4,-5.491408901530401,385.0,0.42338416224161673
S_11,F4,4,14.333943013462477,567.0,3.1004851099915367
S_11,F8,4,18.50218835042233,532.0,3.9549825932323923
S_11,Fp2,4,41.574027167583886,541.0,2.5760081880056918
S_12,Fp1,3,-13.026024486237604,464.0,-0.995269440504654
S_12,F3,3,-12.74137539915298,410.0,-3.7515346847679947
S_12,F7,3,-15.217613106780119,432.0,-3.3980714481024936
S_12,FT9,3,-11.655841584613425,469.0,-1.2274786581527206
S_12,FC5,3,-10.57873928284925,410.0,-2.9571057845435336
S_12,FC1,3,-10.27963212790695,306.0,-3.4046923182771125
S_12,C3,3,-10.104997925326407,302.0,-2.772867883779632
S_12,T7,3,-10.387023024337704,254.0,-0.771638014725302
S_12,TP9,3,10.390593822589878,112.0,2.065744326870676
S_12,CP5,3,-6.145159616970916,260.0,-1.8317735329567923
S_12,CP1,3,-8.261273994308201,315.0,-2.2179940798046744
S_12,Pz,3,-7.543992627686823,76.0,-1.9680649955985172
S_12,P3,3,-10.180051377013191,58.0,-2.5461083575298598
S_12,P7,3,-6.644461724083893,486.0,0.7560112504383318
S_12,O1,3,12.90578069207773,134.0,1.5302468811478327
S_12,Oz,3,11.036917030138593,130.0,1.0435045431037477
S_12,O2,3,12.586154441743803,300.0,0.7239444175770311
S_12,P4,3,-4.99751137146065,111.0,-0.14575435898318428
S_12,P8,3,10.493488838459482,151.0,1.8981739357020002
S_12,TP10,3,12.907907223555846,455.0,3.0902922382545595
S_12,CP6,3,9.146552821541176,492.0,1.1936776808289318
S_12,CP2,3,-9.148960768129903,108.0,-1.7848216410782183
S_12,Cz,3,-10.433951879500347,107.0,-3.5765386557753445
S_12,C4,3,-8.315541373390682,748.0,-0.25682281772471405
S_12,T8,3,15.79129020816772,484.0,1.9962016502822983
S_12,FT10,3,17.11347502960893,491.0,4.845452645615062
S_12,FC6,3,15.126634597023852,485.0,3.708093692704872
S_12,FC2,3,-6.779481747844509,406.0,-1.548391370677243
S_12,F4,3,10.016743271894583,381.0,1.2386176390636294
S_12,F8,3,24.304703624148644,484.0,6.359388205425239
S_12,Fp2,3,16.06438060109932,361.0,4.705578935967784
